financial_year,total_population_thousand,population_15_plus_thousand,share_15_plus
2024-25,27610.4,22819.5,0.82648212
2025-26,27971.7,23190.9,0.82908441
2026-27,28304.6,23534.7,0.83147969
2027-28,28640.9,23877.9,0.83369936
2028-29,28983.7,24217.9,0.83556964
2029-30,29332.5,24548.3,0.83689763
2030-31,29686.2,24878.3,0.83804257
2031-32,30045.5,25197.6,0.83864806
2032-33,30404.2,25509.1,0.83899920
2033-34,30761.1,25815.8,0.83923528
2034-35,31116.5,26113.7,0.83922356
2035-36,31470.4,26411.9,0.83926165
