date,Lune,Lhh,Lpar,Pcpi,Ygdp,YgdpNom,SavHh,Cpr,Idwell,Iotc,Ygne,Xtot,Mtot,CprNom,XtotNom,MtotNom,Ywss,Yhdi,Lwge,Pulc,Tprl,Tgst,Ttot,Imin,IminNom,Inonmin,InonminNom,Xmet,Xccb,Xomf,Xagr,XagrNom,Wfor,KMin,KBiz,KDwell,PcpiRent,Xsvc,Pxsvc,Xmex,Xmac,Xtrn,Xotm,Xonr,Xgpr,R10y,R90d,Rusd,RtwiNom,R10yReal,Rmort,Whh,IdwellNom,IotcNom,Cgov,CgovNom,Ygoa,Lsup,Lpop,IvtNonfarm,Tcit,Ytsf,Ygdw,LempPub,LempEdu,LempHlt,BizLns,BizBnd,Ygmi,YprpR,YprpP,Lemp,LhrsAll,LhrsPub,LhrsEdu,LhrsHlt,Igov,Ipubent,Pgne,Phouse,IvtFar,Fpcpi,Fpoil,Fpcom,Fpagr,Fr10yUs,Fr10yJp,Fr10yDe,Fr10yUk,FcGdp,FcPpp,KTotal,PeRatio,EqEarn,Lnom,XmetNom,XccbNom,XomfNom,XmexNom,XmacNom,XtrnNom,XotmNom,XonrNom,XgprNom,CconsRentNom,CconsRent,GovDef,GovDebt,Rbiz,BizEq,TcorpRate,KdepRate,DumTsfTot,Peq,LavhMkt,Tpit,IntStu,PcpiExGst,ShockGst,KNbiz,KOther
1974-09-01,,,,14.2,156046,16776,1789,81039,9345,5580,138816,17289,12881,9321,2321,2702,9705,12114,,,235,0,4425,,,,,7450,2215,836,2722,761,,,,,8.5,2606,14.2,1006,210,251,512,597,,,0.139333,1.428433,1.14866667,,0.1038,,740,138,25780,2687,3644,,,,578,804,680,,,,,,2175,1310,567,,,,,,4155,3656,12.2,,18,0.393729080875513,,0.2414,0.5639589726468,0.0796333333333333,0.0918000030517578,0.108,0.142866666666667,,,,,,,321,145,35,189,82,53,133,23,27,1165,15060,,,,,,,0,,,2103,,0.134314156690141,0,,
1974-12-01,,,,14.7,156226,17672,2202,80519,8750,4486,136197,18103,12094,9731,2548,2800,10189,12924,,,266,0,4454,,,,,7785,2292,733,2837,787,,,,,8.83,2455,15.4,1121,224,244,457,698,,,0.1015,1.3179,1.053,,0.1038,,721,113,26476,2920,3944,,,,623,877,697,,,,,,2237,1438,582,,,,,,4287,4413,12.9,,83,0.397706142298498,,0.2504,0.6052555602642,0.0767,0.0952999973297119,0.104,0.155633333333333,,,,,,,400,173,28,227,89,49,132,39,26,1234,15251,,,,,,,0,,,2028,,0.139054463446604,0,,
1975-03-01,,,,15.3,156823,18024,2485,82317,8591,4950,135028,17816,10365,10208,2557,2486,10494,13696,,,276,0,4301,,,,,7258,2228,890,3203,870,,,,,9.12,2520,15.4,1178,169,208,428,452,,,0.089,1.3529,1.053,,0.1038,,734,130,26980,3105,3972,,,,603,883,768,,,,,,2287,1541,579,,,,,,4037,4633,13.2,,-29,0.401723376059089,,0.230766666666667,0.4951691878437,0.0754,0.0960000038146973,0.0906666666666667,0.135466666666667,,,,,,,401,170,45,239,73,43,126,32,28,1302,15437,,,,,,,0,,,1883,,0.14432168527759,0,,
1975-06-01,,,,15.8,161783,18857,2277,83009,8568,5322,139587,18569,10001,10672,2730,2477,10676,13989,,,293,0,4510,,,,,7053,2409,1055,3380,848,,100859,574316,699158,9.48,2332,15.9,1199,285,173,465,670,,,0.091667,1.336667,1.053,,0.1013,,758,157,27691,3256,4521,,,,702,1018,801,,,,,,2313,1578,632,,,,,,4673,4221,13.3,,-213,0.405781187938474,,0.217366666666667,0.437576620874967,0.0805,0.0935000038146973,0.086,0.1284,,,1883124,,,,407,246,51,233,123,34,137,37,27,1369,15596,,,,,,,0,,,1859,,0.149588907108576,0,473457,609650
1975-09-01,,,,15.9,159991,19430,2347,82423,9370,5725,139029,18126,10156,10975,2624,2536,11119,14430,,,300,0,4642,,,,,7144,1728,851,3571,884,,101492.015586214,578765.373788988,708112.498720881,9.92,2382,16.2,1085,209,132,427,664,,,0.081333,1.2777,1.053,,0.102133,,862,185,28756,3460,4396,,,,671,1103,847,,,,,,2380,1563,658,,,,,,4684,3968,14,,42,0.40987998781664,,0.2201,0.45598658238,0.0829666666666667,0.0917000007629395,0.085,0.1276,,,1901614.36061328,,,,408,218,41,189,87,26,121,39,28,1460,15777,,,,,,,0,,,1904,,0.150642415771914,0,477273.358202774,614736.488103411
1975-12-01,,,,16.8,157586,20367,2469,80816,10459,5750,136180,18520,10656,11349,2701,2697,11598,14962,,,309,0,5070,,,,,7268,2161,791,3795,957,,102129.004132029,583249.482760823,717181.682602115,10.28,2349,17,1066,200,152,435,524,,,0.079,1.2625,1.053,,0.1038,,994,191,28413,3673,4665,,,,694,1287,896,,,,,,2521,1627,661,,,,,,4809,3923,14.9,,37,0.413978787694807,,0.212866666666667,0.425851005637067,0.0806333333333333,0.0911999988555908,0.0853333333333333,0.1358,,,1920296.5796263898,,,,432,265,35,177,89,33,124,43,28,1538,15948,,,,,,,0,,,2131,,0.159069842107209,0,481120.478628794,619865.414263452
1976-03-01,,,,17.3,164568,21333,2259,82271,11874,6267,144343,18603,11032,11889,2833,2903,11967,15324,,,324,0,5512,,,,,8012,2009,701,3994,967,,102769.990572705,587768.5998134391,726367.020479246,10.61,2331,17.5,1121,224,134,410,591,,,0.081333,1.256033,1.053,,0.100467,,1154,204,29475,3807,4816,,,,706,1149,949,,,,,,2689,1618,678,,,,,,4275,3619,14.9,,-66,0.418118575571755,,0.2231,0.4365257476974,0.0775333333333333,0.0902000045776367,0.0813333333333333,0.1244,,,1939172.7528459202,,,,489,251,37,190,101,27,123,37,27,1610,16101,,,,,,,0,,,2394,,0.163283876760563,0,484998.609240734,625037.132553235
1976-06-01,,,,17.7,165058,22271,2146,83902,12451,6146,144008,19333,11273,12425,3079,3000,12506,15775,,,334,0,5913,,,,,7961,2791,855,3997,1015,,103415,592323,735670,10.9,2373,18.2,1152,178,213,399,717,,,0.1004,1.2339,1.053,,0.0988,,1260,211,29082,3954,5256,,,,779,1262,929,,,,,,2714,1718,733,,,,,,4186,4096,15.5,,-88,0.422299761327472,,0.232866666666667,0.475416771735067,0.0777333333333333,0.0869999980926514,0.0806666666666667,0.127633333333333,,,1958245,,,,506,330,46,207,82,48,121,44,30,1677,16279,,,,,,,0,,,2611,,0.167497589928211,0,488908,630252
1976-09-01,,,,18.1,166399,23048,2711,85867,12885,5871,144543,20818,11824,12982,3320,3215,12885,16914,,,356,0,5742,,,,,8537,2212,1204,4452,1165,,103714.446876869,596858.085307625,746007.797933444,11.38,2432,18.4,1333,182,149,460,787,,,0.094467,1.2414,1.053,,0.0988,,1338,214,29159,4050,5576,,,,797,1505,1024,,,,,,2763,1885,760,,,,,,4198,3825,15.9,,-85,0.426522758940747,,0.2414,0.501926111325867,0.0773,0.0877000045776367,0.0826666666666667,0.138033333333333,,,1977461.5226192,,,,542,293,66,250,82,34,144,47,30,1777,16485,,,,,0.46,,0,,,2369,,0.171711303095858,0,493143.638430756,634595.639378131
1976-12-01,,,,19.2,167832,23782,2505,86793,13005,6131,146447,20409,11814,13548,3267,3336,13165,17301,,,359,0,6049,,,,,7922,2363,783,4504,1168,,104014.76082749,601430.733003697,756490.864895275,11.71,2421,18.8,1338,197,107,394,780,,,0.0934,1.108267,0.948,,0.0988,,1379,225,28731,4144,5677,,,,796,1529,1080,,,,,,2976,1943,803,,,,,,4244,4008,16.4,,-146,0.430787986530154,,0.2457,0.5168129949526,0.0719,0.0876000022888184,0.0766666666666667,0.154333333333333,,,1996890.81262218,,,,536,314,40,258,94,24,130,53,32,1865,16728,,,,,0.46,,0,,,2675,,0.181719153169014,0,497415.972176207,638969.214723208
