equation,term,estimate,std_error
Cpr,c1,-0.014947977651676048,0.011021641270750473
Cpr,c2,-0.03854434484387465,0.013039322233058802
Cpr,c3,0.9132242416542857,0.05917893181089576
Cpr,c6,0.08579370084429855,0.02576010860405866
Cpr,c8,0.01829427883155613,0.031006028158879196
Cpr,c9,0.032512601092609644,0.03135365602686274
Cpr,c10,0.07445072811303609,0.030042972735011095
Cpr,c11,-0.27510969936774016,0.039687528747882665
Cpr,c12,1.1534289913005746,0.04092744539977096
Idw,c1,-0.1840970654502041,0.07880005673977312
Idw,c2,-0.08139961228184535,0.034250278499800745
Idw,c4,-0.7219892545880088,0.5536696408351672
Idw,c5,-1.432297536871985,3.564408932831323
Idw,c7,0.10050325646159201,0.13612100431499596
Idw,c8,0.20138122865154162,0.13499972563353818
Idw,c9,0.1719173824607721,0.1362813580850153
Idw,c10,0.02367812768867944,0.13665289926574148
Idw,c11,-0.06955278651093925,0.026670295140393752
Idw,c13,0.044185470677953476,0.026358038793855572
Idw,c14,0.057029103781539525,0.026292936808280442
Imin,c1,-0.040500507368795055,0.059082356906810005
Imin,c2,-0.01696135311551493,0.01852076056166849
Imin,c3,2.271374544215244,2.506182141198772
Imin,c4,0.23574674631273296,0.09362879703974658
Imin,c5,-0.05985110760933532,0.10138252150092122
Imin,c6,0.2210632974056061,0.09401488561838547
Imin,c7,-0.21883210051259103,0.057873191369085565
IvtNF,c1,-0.07594928196123017,0.028068870894709785
IvtNF,c2,-0.05801126474300231,0.02234101892956574
IvtNF,c3,-0.019188081620942914,0.011445468219364879
IvtNF,c4,1.8325884647461685e-4,1.0033114760434166e-4
IvtNF,c5,-4.586380894717133e-7,2.7177408696655904e-7
IvtNF,c6,0.22671972584310401,0.08294915474943698
IvtNF,c7,0.21540304388494358,0.07928663805169524
IvtNF,c8,0.17477751734347205,0.10584271897350671
Tcit,c1,-0.4505449236434792,0.1514856729665824
Tcit,c2,-0.11672136541365195,0.0315159388889752
Tcit,c5,0.4328962880599498,0.17511322579425212
Tcit,c6,1.2232963246006676,0.18882940950112642
Tcit,c7,0.22410299042502996,0.060304537691919645
Tprl,c1,-0.7832015880256011,0.14053112854391747
Tprl,c2,-0.22879171318264357,0.04014252582119852
Tprl,c4,-1.297362418147188,0.36186136699229693
Tprl,c5,-0.176958209467803,0.0944000225670583
Toth,c1,-0.013836135389967693,0.028168197726905382
Toth,c2,-0.005750882719481525,0.011177151065953485
Toth,c3,-0.12184488480540612,0.30594171255362645
Toth,c4,0.9171658855757565,0.1549731871308653
Ttsf,c1,-0.744463096310633,0.1313919321307044
Ttsf,c2,-0.29915303675460103,0.05048600788649676
Ttsf,c3,0.932201062838431,0.04285675008859257
Ttsf,c4,-1.309860596173576,0.9069782167143435
Ttsf,c5,1.5577488614797061,0.882036703976758
Ttsf,c6,0.04420885390079223,0.011714919018395468
Ttsf,c7,0.7138707620804421,0.14058233920945043
Xmin,c1,-0.1327992164379321,0.05163374842258573
Xmin,c2,-0.049145883297769435,0.0188810541422253
Xmin,c3,-0.2618633925717312,0.0749359431113121
Xmin,c4,2.5093129894662214,1.0312020129886164
Xmin,c5,-2.3499678399730994,1.3678547964998886
Xmin,c6,1.3637853245912324,1.0393237668124913
Xmin,c7,1.069155091800042,0.8291806952077215
Xmin,c8,-1.9120924048512045,1.1005060596133116
Xmin,c9,0.7138595382186931,0.8021610607875616
Xmin,c10,0.03641081045021932,0.033344977296013
Xmin,c11,-0.002213905163534025,0.03549096251598236
Xmin,c12,-0.005406468909738033,0.03313767347962221
Lavh,rho,0.6943120046999621,0.05933213223347041
Lavh,c1,453.25278502511736,0.8613895222865208
Lavh,c2,-16.728512905052213,3.644220398749088
Lavh,c3,-0.9881186466110229,0.0725690604571302
Lavh,c4,-0.3737598123176479,0.017118587618378426
LempNM,c1,-2.110494160208136,0.23314253463756524
LempNM,c2,0.46713594364355565,0.06600789602268342
LempNM,c3,0.001984392474954305,2.1588768673119207e-4
LempNM,c4,0.4948734802850024,0.041168518752883285
