date,variable,actual,simulated
2010-03-01,Ygdp,475934,480906.71342564287
2010-06-01,Ygdp,478897,480724.8722927088
2010-09-01,Ygdp,482263,481350.4094101266
2010-12-01,Ygdp,486298,482594.26609212067
2011-03-01,Ygdp,484880,484693.2908028968
2011-06-01,Ygdp,490735,481951.1509866781
2011-09-01,Ygdp,497577,487847.5386378432
2011-12-01,Ygdp,503106,492111.5235707948
2012-03-01,Ygdp,508343,489747.5605154131
2012-06-01,Ygdp,511992,495958.33380397136
2012-09-01,Ygdp,515130,496497.1979127538
2012-12-01,Ygdp,517406,495718.90773883474
2013-03-01,Ygdp,520081,496029.747295983
2013-06-01,Ygdp,522048,487253.6320681622
2013-09-01,Ygdp,526346,499756.79708159465
2013-12-01,Ygdp,530450,505698.1997488295
2014-03-01,Ygdp,534586,504755.4629520542
2014-06-01,Ygdp,537250,505405.45422520675
2014-09-01,Ygdp,539402,512582.70069695666
2014-12-01,Ygdp,541385,515348.02944599884
2015-03-01,Ygdp,546635,517536.3888808889
2015-06-01,Ygdp,547281,523366.1328902834
2015-09-01,Ygdp,552613,525668.1760616285
2015-12-01,Ygdp,556043,530264.5962990567
2016-03-01,Ygdp,561139,534643.8902255982
2016-06-01,Ygdp,564835,542467.7098221775
2016-09-01,Ygdp,564782,545104.8510106994
2016-12-01,Ygdp,571367,551494.262781792
2017-03-01,Ygdp,573149,555940.8979265833
2017-06-01,Ygdp,576579,560975.0930332233
2017-09-01,Ygdp,582043,559859.4301447513
2017-12-01,Ygdp,584367,567065.5792361567
2018-03-01,Ygdp,590393,570386.5510431321
2018-06-01,Ygdp,594775,571027.9978421917
2018-09-01,Ygdp,597020,578448.39201975
2018-12-01,Ygdp,598542,581691.8165987686
2019-03-01,Ygdp,602883,584347.0407926126
2019-06-01,Ygdp,604726,588077.2147279674
2019-09-01,Ygdp,608257,592977.6292923006
2019-12-01,Ygdp,611850,593769.6290572938
2020-03-01,Ygdp,610510,593492.3366110044
2020-06-01,Ygdp,569344,587159.1968418377
2020-09-01,Ygdp,589128,596956.3835317075
2020-12-01,Ygdp,609184,598134.1282990255
2021-03-01,Ygdp,622355,605215.9730471452
2021-06-01,Ygdp,627461,608592.275201804
2021-09-01,Ygdp,616714,616809.7966435977
2021-12-01,Ygdp,639091,615764.5653920351
2022-03-01,Ygdp,645027,624323.5941530535
2022-06-01,Ygdp,651417,628361.7475722316
2022-09-01,Ygdp,654547,629841.869897428
2022-12-01,Ygdp,659948,634750.4329000566
2023-03-01,Ygdp,663102,637104.101452163
2023-06-01,Ygdp,666120,641569.056872142
2023-09-01,Ygdp,668806,645783.7471975277
2023-12-01,Ygdp,668754,649906.0959752009
2024-03-01,Ygdp,670388,653878.8593031964
2024-06-01,Ygdp,672076,656586.2248683546
2024-09-01,Ygdp,674130,663363.7528013954
2024-12-01,Ygdp,677077,663100.3839790033
2010-03-01,YgdpNom,329458,329019.96157056926
2010-06-01,YgdpNom,341052,330171.5718227452
