date,Cpr,Idwell,Imin,IvtNonfarm,Tcit,Tprl,Toth,Ytsf,Xmin,LavhMkt,LempNonmkt,Lpar,Lwge,Pcpi,Piret,Pxagr,Pmgs,Rmort,Peq,Rtwi,Rusd,Whh,Ygdw,Lhrs,PhouseSa,Pimin,Pinonmin,Pgov,Pidwell,Pxsvc,Tpit,GovDebt,PcpiRent,Inonmin,Ynli,EqEarn,Tgst,Xoth,Pxmin,Pxoth,PconsExrent,Ppcd,Xsvc,Mtot,R90d,R10y,GapAvh,Ivt,Iotc,Xagr,Xtot,CprNom,CgovNom,Ttot,FiscalCovered,GovDef,IdwellNom,IotcNom,IminNom,InonminNom,YgovIvtNom,XminNom,XagrNom,XothNom,XsvcNom,XtotNom,MtotNom,YgdpNom,Ygdp,Ygne,Pgne,Pgdp,Pxtot,Ptot,CconsRent,PconsRent,CconsRentNom,LempMkt,Lemp,Lsup,Lune,Lur,Lhh,Ywss,Yhdi,Ygoa,SavHh,Wfor,EqYield,PeRatio,KMin,KNbiz,KDwell,KBiz,KTotal,R90dReal,R10yReal,RmortReal,PcpiExGst,RmortRealExgst,Fr10y,Fr10yReal,Rdif10y,RtwiNom,PhouseReal,Rbiz,RbizReal,KdepAllow,CostCap,GovDem,Pulc,UlcDom,UlcExp,RmortRealHpf,LparHpf,PpcdHpf,LurHpf,InflExp,Lpop,Lpop15Plus,Cgov,Igov,Ipubent,IvtFar,Lnom,IntStu,Fpcpi,Fpoil,Fpcom,Fpagr,FcGdp,FcPpp,Fr10yUs,Fr10yJp,Fr10yDe,Fr10yUk,YgdpHpf,CprHpf,PhouseHpf,YgdpAnnualGrowth,PcpiAnnualGrowth
2010-03-01,253220.74878440425,29217.689477167172,18500.154743039402,181023.906135637,15684.824468277699,4786.06947694924,22276.375526656186,24122.40932349297,52259.88670086192,435.22291322532453,2823.192243319494,0.6531569127854193,15712.185154551378,95.20855411870325,0.49692795152043295,0.6585174976878005,0.7122178191027062,0.08202357587086248,5390.324239320894,0.42626414190983714,0.9142725849815708,6439228.61064532,24487.91505961303,3650917.464578985,423.4766982488066,0.7015895304823825,0.8235268324991996,0.7112539605055503,0.5886811520607361,73.9982851132543,32695.618828342216,13.188736113360607,67.25433309655374,41569.98536957062,40899.28316363913,323.4403233975157,11616.069884249,19388.777030716665,0.46517923148952367,0.6200370822332126,0.7484632829365329,0.7295953401251652,19303.142105596697,96515.31977975518,0.06660118090860809,0.055248718701623095,-0.09478135746888494,338.906135636993,9220.780637079528,9412.244401398155,108459.05023857343,184748.67842432685,61374.81550598444,87058.95818447435,23016.424960941673,14.194822875654072,17199.903101971617,4582.063633403202,12979.514880020435,34233.99803826743,21552.433872038215,24310.213933236526,6198.127630834723,12021.760738195893,14283.994131116084,61142.72843338322,68739.93056353752,329074.2053258579,480960.9946790271,466724.2525346733,72.06357591158321,0.6842014515134015,0.5637402162280583,79.15278179058919,55618.85395965881,0.6624351970898453,36843.88648467791,8203.755086562564,11026.947329882058,11550.955527058468,524.0081971764102,0.04536492018700275,8292299.404940319,154263.15280840645,212032.98295036805,114223.46513208696,10646.691019130356,772242.7582075949,0.06000387157383036,16.665591298880997,544981.2030606795,1728733.6332637821,2410416.7108010193,2273714.8363244617,6114017.689488231,0.037319514760464884,0.02596705255347989,0.05274190972271928,0.9293420160201136,0.052081854436698966,0.032643836956521746,0.0015586647551667637,0.024408387798313128,0.7073805168072385,4.447884984376805,0.08600168090860809,0.05895936666332294,0.007267619642713186,0.11925410168092607,116136,70.30121571579492,4.277801427668773,3.8603010919216434,0.04629277347899701,0.6537624206451763,0.7273417477534387,0.04966466867624429,0.02793084797599164,21964.1,17684.809424735104,86291,20092,9753,98,59.9,199584.5,1.52251357384588,76.25,0.9685576520361,0.940247603918467,54738118.179452,3.7595,0.0371666666666667,0.0132133333333333,0.0317655797101449,0.0405213333333333,479609.9552107338,252287.50398393237,404.46028606851706,3.316934756622092,2.9281666148143204
2010-06-01,254003.61098323826,29796.781574718963,18500.7917671303,181487.5636812531,15368.207047528675,4850.314284641724,22373.32279713515,23753.92869392507,53173.40837440006,434.5933751419499,2820.418021957956,0.6547780631434977,16030.078749559594,95.67345265970283,0.5029719259977279,0.6649385684158743,0.7193569638121292,0.09159591870542576,5589.840619556822,0.4268651266846066,0.9109294749968966,6474445.524827924,24869.934071717787,3666242.9471841017,417.9437552466257,0.704278780067467,0.820510243547352,0.7185229515117173,0.5931927684645075,74.4835731585045,33554.541718985725,27.10867498349048,67.60424396425638,42482.34837894548,39570.994790060424,310.7852419280416,11683.848568629792,19259.16796093258,0.47210090538033567,0.6351040105466151,0.7514587645454499,0.7326903838125081,18895.755709183526,98316.77006649818,0.07092110297508719,0.05608492213728514,-0.042398972829389155,732.6575456160936,9403.535717845381,9415.728111931086,108839.06015644726,186106.00306630495,62808.96528344526,87830.23441692107,21272.075950695013,13.84918707218465,17675.23535363977,4729.714471193118,13029.715056036765,34857.20166775418,20063.983720303644,25103.214235712592,6260.8807713405595,12231.574811779157,14074.234027502003,61998.53584633431,70724.85320685136,330544.5012581606,481139.01100688305,468323.7096885462,72.37206385801674,0.6870041733408515,0.5696349799163689,79.18669152762071,55790.806291829496,0.6658817151644162,37150.077784009125,8250.125630424165,11070.54365238212,11624.382548607244,553.8388962251229,0.04764458702812355,8317858.779998458,158006.48771008602,213382.57582028228,112206.01174533542,10714.457354762022,775693.1209761337,0.05559822955250583,17.986184237316774,555003.3295779537,1746860.208803733,2422656.8799361363,2301863.538381687,6154406.560680573,0.04217430018258367,0.027338119344781614,0.06284911591292223,0.9338799459502194,0.06343734269639716,0.030312261544011544,-1.9864019953898943e-4,0.027536759544320603,0.6993205281700942,4.368440185107498,0.09032160297508719,0.06178920781624533,0.00732622452840622,0.1171395728035564,114884,71.98049648784692,4.3015836791642474,3.8811432002076316,0.04629277347899701,0.6537624206451763,0.7322182551130132,0.04966466867624429,0.02793084797599164,22031.8,17753.16432074742,87414,19115,8355,269,32,181749,1.5197947180724,78.51,0.969610748596967,0.927993800856067,56007989.052968,3.816,0.0349,0.0120766666666667,0.0278065584415584,0.038262,482475.97633505746,254151.88902931663,411.47852058491407,2.7212214970939064,2.8746802792503523
2010-09-01,254864.74307369834,30051.582922654496,18498.891536048202,181838.04943874577,15451.05015785492,4956.111395629452,22533.980643776147,24775.417387341917,53613.108756156806,434.28262894018553,2827.5030816683766,0.6547382606922508,16152.926616283192,96.19835655230172,0.5099567559301204,0.6867999051358609,0.7225165888736658,0.09410629701676249,5690.89763350349,0.4289810391955491,0.9110242155726385,6498275.801616589,25249.237929126222,3671951.757424417,410.56187332027895,0.7076115624261333,0.8213576864434575,0.7238604048302963,0.5971526795870743,75.01713595173175,34071.28224262106,41.23057169464276,68.04725179064143,42852.988147402386,39102.95105163296,312.1945759906377,11767.762390212169,19184.429494157488,0.4765409404003893,0.6421353582086834,0.7546674547396335,0.7361531112361317,18425.338047563673,99047.92356832448,0.07292620181705084,0.05698629498433906,-0.02039524198703254,917.4857574926864,9483.948213747282,9431.582655018194,108749.45895289615,187619.4734125877,62983.81768468892,88780.18683009375,21775.00947148881,13.948841344655438,17945.383268096295,4836.403464491824,13090.029542974642,35197.63086207012,20418.585354853753,25548.84126444731,6477.610072747526,12319.00050526005,13822.160892706997,62496.24473516188,71563.76787160536,333023.80045331985,481949.17022559664,469954.62381334556,72.72051799334751,0.6909936321059488,0.574680971628848,79.5387926697601,55979.9502707854,0.6702452106192355,37520.29355969689,8268.88461325468,11096.387694923058,11664.102799406905,567.7151044838465,0.04867199154900467,8345268.0950534195,159589.07476231435,215222.677792035,112599.16590816018,10806.853343651777,781511.3249492946,0.05485858226524472,18.22868836028129,564870.1833906557,1765653.3323061287,2435389.928805793,2330523.5156967845,6195799.586865327,0.04626284480209114,0.030322937969379363,0.06744294000180279,0.9390035952512733,0.06799777131835921,0.024758959595959612,0.001267875277257774,0.02905506269212159,0.6981230513412304,4.267867851745078,0.09232670181705084,0.06323018520888012,0.0073894905021216805,0.11708753295936684,114765,72.57923897341321,4.310043538547657,3.886662916381554,0.04629277347899701,0.6537624206451763,0.7371274573152822,0.04966466867624429,0.02793084797599164,22104.4,17814.909406813218,87011,18602,9152,567,41.8,163913.5,1.52066688972703,76.82,0.969583919762633,0.997698125293033,57277859.926484,3.8725,0.0278666666666667,0.00998666666666667,0.0242212121212121,0.032896,484899.796514562,255811.7510126192,415.7514338196663,2.5314690406545326,2.66633570149597
2010-12-01,255858.0133358999,29885.063300829752,18761.910569600026,182249.38821672174,16128.488021408968,4987.638584202736,22793.50552480156,24488.079212038592,54303.10853166033,433.82228749433256,2838.7596578693956,0.6546968354321112,16289.17243358814,96.71833449475385,0.5189649590181741,0.7333444206447673,0.728074425439809,0.09384739042826144,5928.241797483597,0.43334713472085107,0.9166647062356896,6571620.2009747485,25620.102534189737,3674871.7560619754,405.65620392314474,0.7125001145531431,0.8226576803137344,0.7299557369490542,0.6007616692549864,75.51362485349343,34314.77904627377,55.28464769029518,68.42317565488007,43113.705561560535,39189.559276232874,323.3806071538652,11850.908804763743,19129.432494682613,0.5014933048682264,0.6502837346141241,0.7579434651306578,0.7395228747338838,17892.260947904353,99751.68262124919,0.071444050699508,0.057736487997108586,5.955404626708341e-4,1182.338777975965,9431.396457188459,9455.833506067263,108875.63548031455,189212.85343052293,64319.31980552897,90075.31998145077,20865.68392495782,13.768662112148483,17953.800514397415,4894.564275888961,13367.863430075846,35467.82066967318,20034.24011991694,27232.645362160318,6934.382744220276,12439.55880369099,13511.094810008599,64446.31372008019,72626.64901112019,337070.12695496425,483188.3765629235,471771.4126634266,73.1094880377697,0.6975957008578298,0.5919259477638825,81.30019776567717,56198.1178337559,0.6739479489802002,37874.6062506074,8284.241502726449,11123.001160595844,11704.65538726034,581.6542266644956,0.04969426358901537,8370978.485621502,161321.15321863536,216686.1440549885,114075.85136311257,10880.337538901882,791006.8924768197,0.054549159464300674,18.33208815352037,574581.6427514588,1784562.241452686,2448288.0951130344,2359143.8842041446,6237318.121679929,0.047969611601583764,0.03426204889918435,0.0703729513303372,0.9440791617673027,0.07037295133033698,0.02562751839826839,0.008011961606744566,0.026250087292439783,0.7017828715760642,4.194201709967909,0.090844550699508,0.06239668692116342,0.007442219538614579,0.11661155131893727,115019,73.17880782141916,4.318446633790211,3.892125868414621,0.04629277347899701,0.6537624206451763,0.742069573564824,0.04966466867624429,0.02793084797599164,22172.5,17877.977643705985,88114,18485,8420,771,38.4,146078,1.53164439488143,86.46,1.09224767960433,1.13406046993247,58547730.8,3.929,0.0286333333333333,0.0106566666666667,0.0259773448773449,0.0332976666666667,487020.0799543961,257316.75550374296,418.0660986674476,1.9759102630340086,2.347443909792424
2011-03-01,257198.49657102977,29548.26653998746,19018.6414988528,182682.18307023493,17094.14325856933,5061.699991183057,23140.780751701932,24356.58977425765,55159.631091157986,433.6561319108483,2865.1142134620186,0.6545253969877183,16406.504511200077,97.28730074059061,0.5293875792052235,0.788297657636297,0.732485922213799,0.09283224803692866,6109.099047336291,0.4385840717277999,0.9235205602846489,6671539.403608597,25993.313323828286,3681338.0515405126,405.03879176286836,0.7168876291288522,0.8237779955281008,0.7357376554134656,0.6042197160553804,76.01354489785673,34770.35930023166,69.33569254004568,68.83541672443098,43182.93693928844,39692.515299328596,329.4908044840447,11979.113337749537,19112.371383871483,0.5372448103800238,0.6569108477640326,0.7615175678011276,0.743203634058771,17726.088965846484,100544.2653878349,0.07011731701358181,0.05835519498848537,5.864732359597746e-4,607.7948535131873,9325.107113076132,9494.926175588766,109588.01761646473,191150.85727212447,65883.0998293096,92046.0966394355,20354.044821833188,13.667282863238972,17853.64521871992,4936.595880420784,13634.228813364185,35573.1528845256,19648.29532188635,29634.225546201236,7484.828063646188,12555.124088560053,13474.228594687745,67477.03829309522,73647.2589559172,342509.6545575289,485185.99237369245,473849.22850235057,73.51206942179496,0.705934770086701,0.6157337249155361,84.0608271425338,56492.54924053426,0.6780084010222186,38302.42298024358,8301.998130903577,11167.112344365596,11751.067710837806,583.9553664722098,0.0496938128340787,8407335.469640685,163127.530727397,218643.25994191293,116552.92554968872,10978.609080653447,803771.9033198643,0.05393443483744307,18.541030475501838,584405.0443268119,1803475.443716434,2460928.8949005366,2387880.488043246,6278695.525306533,0.0482837050957321,0.03652158307063565,0.070998636119078945,0.9496329089368488,0.070998636119078945,0.03066309178743962,0.018125479871711345,0.018396103198924308,0.7115450296677356,4.163326443220727,0.08951781701358182,0.061588282956797524,0.007485757460894623,0.11593555806852172,116448,73.6935535674871,4.325632235399643,3.896371326814566,0.04629277347899701,0.6537624206451763,0.7470448245358872,0.04966466867624429,0.02793084797599164,22268.8,17953.570273848833,89547,18227,8674,175,61,140977.5,1.5429204923738,104.96,1.27407522830533,1.26559411658147,59689411.5506,3.9415,0.0346,0.0122266666666667,0.0314246859903382,0.0378193333333333,489030.1119364741,258756.1571089984,419.51453115642903,0.878449134421988,2.1833611917849716
2011-06-01,257105.1785504222,29269.0933525144,19453.65532457209,183202.2987115905,17155.186183751084,5095.636192686641,23214.262359415487,24521.832521234952,55051.31670170007,431.7994241790588,2843.396916793428,0.6542496745651063,16580.79639775125,97.75131853036306,0.538247625604585,0.8167704711709647,0.7422148805314599,0.08716811170438796,5993.217466969312,0.43849397110067434,0.9202624698840371,6764514.848490598,26335.565867312966,3668576.5022941544,407.80564875572674,0.7218741315658233,0.8259330890377616,0.7425540446268736,0.6076704015803365,76.54362871989196,34808.97253045412,83.20642883127458,69.19395906332856,42960.80404923289,39507.42933292767,334.5347603647021,12079.595180290475,18896.389711366628,0.56456733008413,0.6692517487939028,0.7642130776300113,0.7460821858471449,17299.462385773102,99858.2493927627,0.06147556297440955,0.05840677225611749,0.08513942501533092,632.1156413555727,9237.003133346489,9443.781626457376,108785.95042529718,191821.59262038692,67183.31974166102,92353.6524465978,18924.46216031506,13.384016757123028,17785.96171141478,4971.795004225859,14043.09054320633,35482.749241980455,17423.370190279787,31080.17488789468,7713.40196867729,12646.441860223229,13241.636259103527,69010.28697589872,74116.27864313009,343605.88738592376,482572.53304971085,471351.822368889,73.90628539059506,0.712029542341063,0.6343676431203106,85.46953985429047,56472.052336607965,0.6815399365233095,38487.958964832804,8308.793094022749,11152.190010816177,11792.35679406399,640.1667832478124,0.05428659714144019,8434216.23041084,164640.1910994669,220295.76261491072,115976.44031961956,11061.585253147388,806344.4472912129,0.055818892307585785,17.915081411676457,594332.358577575,1822201.3948418484,2473143.863763697,2416533.7534194235,6319563.759545871,0.039757251228612026,0.036688460510319966,0.06544979995859043,0.9541622417495149,0.06544979995859021,0.028771616693248264,0.01658158282386049,0.020106877686459475,0.7124451215090271,4.171868521947927,0.08087606297440955,0.055668398906190325,0.00748938898127334,0.11535271167088147,114174,74.77970625953475,4.340439593273965,3.9082385414794016,0.04629277347899701,0.6537624206451763,0.7520534323822446,0.04966466867624429,0.02793084797599164,22340,18024.24556328992,90476,15941,7757,112,39.2,135877,1.55680644386997,117.36,1.35695904123243,1.24774758852927,60831092.3012,3.954,0.0321,0.01139,0.0309744816586922,0.0356053333333333,490026.9467547617,259853.34402675103,420.9035902194906,0.2979434238408185,2.1718311745797525
2011-09-01,259078.22811442538,29124.60101627011,19817.798365900777,183355.4188693994,17556.793489731463,5151.413285577595,23573.716774367553,25841.49834638407,56477.48732086398,432.1055480661041,2882.58246087841,0.6536261187883973,16616.242198774642,98.35883134907057,0.5452649148655919,0.8250786185906347,0.7498096295472547,0.08616567693959704,5931.130312102654,0.4373942638504007,0.9161573746704198,6902268.588063802,26699.732963026287,3676359.559342339,416.51448960274973,0.7259986714658522,0.8285599890475813,0.747152504582288,0.6113879628077755,77.04821136394452,35212.3128835296,97.66034552416389,69.63179365221244,43095.38453400777,40722.48465552761,346.22794014946174,12259.64646509248,19000.835713119483,0.5731015477570002,0.673228953904268,0.7679879728953805,0.7499744892523218,17251.945057840916,100694.39659624349,0.0630086168165753,0.05854802165849315,0.05454365489149203,578.1201578089094,9191.402945238222,9551.260893939128,110376.5289857635,194302.06199701544,68244.1626160416,93753.88289829869,21331.630986537944,13.860987665152747,17806.43048292665,5011.74954443067,14387.6952850221,35707.11099701129,18623.202082841886,32367.3353970135,7880.541144170047,12791.912750450285,13292.31509255685,70660.73638419068,75501.62820931368,349241.5211801667,488064.667962813,476089.523651019,74.29921379542336,0.7155640443530936,0.6401790039375543,85.37887201103342,56905.424230823846,0.6858524771259149,39028.7261706116,8320.521760286138,11203.104221164547,11824.229111597997,621.1248904334498,0.05252983845910513,8469251.828718008,165745.40789345163,223973.71044891304,119142.17720318357,11246.263946189538,819569.663109039,0.058374697895774263,17.130709640424364,604540.251877314,1840451.2698795768,2484993.624571876,2444991.5217568907,6359871.288691517,0.040550075172007566,0.03608948001392542,0.0637071352950293,0.9600922465996231,0.06370713529502908,0.022049578235773908,0.009189365915236884,0.026900114098688532,0.7136503404730667,4.234642521570439,0.0824091168165753,0.05668582899884118,0.007499335885620503,0.11741693343477794,116684,74.43456042393179,4.335989550813272,3.900848355809222,0.04629277347899701,0.6537624206451763,0.7570956207471128,0.04966466867624429,0.02793084797599164,22432.8,18090.202903023728,91339,17601,7744,425,55.4,130776.5,1.57286139592291,113.34,1.321280114855,1.22489016931377,61972773.0518,3.9665,0.0242666666666667,0.0102433333333333,0.0226212623125667,0.02867,491758.71415104665,261064.76116117378,423.46855099538686,1.2689092782032896,2.245854164456773
2011-12-01,260995.53619354137,29161.56532108739,20102.84259470546,184088.52266538294,17479.462274002788,5186.9447578529325,23845.014031420553,25633.855546693114,56626.9519815453,432.23497773023996,2927.460774370617,0.6537556800783088,16762.65144516753,98.96557760640775,0.5518402114809438,0.8129541860238575,0.7542552582156103,0.08772554088319133,6005.80352611476,0.4388166403615481,0.9174888114582034,7050514.416191702,27068.50750420012,3686311.175152467,424.40317268432,0.730759829421708,0.8304244856680083,0.7531017501723964,0.61530148426783,77.51074981504414,35798.87355085126,112.57340384532826,70.00509180522903,43558.20288081812,41044.80516297314,357.8949187707061,12432.504882250845,19039.250141160093,0.5695413357001172,0.6787749734030257,0.7719056694827793,0.7538392500468452,17101.160102479134,102858.63140433928,0.06453690417385197,0.058772574578049006,0.03167430116145586,994.1037959835376,9203.068472260427,9628.699632993856,110491.06185817838,196748.6793651291,69199.50741634081,94742.79949637837,23072.561107517686,14.205946029341495,17943.15442563835,5078.6232520058,14690.349825398409,36171.79786334688,20642.26688047916,32251.38986819571,7827.691672608736,12923.366508179497,13255.237422502747,70586.31747148669,77581.6635895842,353479.03291024093,492021.74902870425,482096.3059271448,74.70005660568937,0.7184215728490997,0.6388418781067403,84.6983658580106,57326.55274639751,0.6895293530115445,39528.34082560565,8340.546492524634,11268.00726689525,11877.17850587808,609.1712389828299,0.051289219104424424,8503003.795190645,168174.50099199862,226197.8104780837,120236.09487506041,11357.941410123352,829513.8875222809,0.059591512978153224,16.78091308684525,614953.488599175,1858588.2382868782,2496615.430481397,2473541.726886053,6400043.2997302,0.04130198058471815,0.03553765098891519,0.06449061729405751,0.9660147689530596,0.06449061729405729,0.018833573232323257,0.004364626276082133,0.031173024712833057,0.7188869153881399,4.288391812072252,0.08393740417385197,0.057693403018223136,0.0075151540107363645,0.11856441359937094,119561,74.91802842143865,4.342639899658837,3.9045585614453,0.04629277347899701,0.6537624206451763,0.7621716147731376,0.04966466867624429,0.02793084797599164,22522.2,18167.61042054028,91886,20394,7281,261,50.6,125676,1.58806141384857,109.396666666667,1.25033588442133,1.12261291201597,63114453.8024,3.979,0.0204666666666667,0.0102366666666667,0.0193469696969697,0.023345,493854.20937416557,262373.3443282943,426.9462983995562,1.8281425825297015,2.3234923589133816
2012-03-01,261032.09424987476,29343.062972330485,20407.130725768202,184821.1202631916,17435.36714093468,5224.6282872312995,23898.267916873352,25725.147926356774,57104.63805841634,430.02820105215835,2898.382187587133,0.6537963682294172,16963.956076021677,99.4401136735005,0.5601171805053766,0.8083533916745301,0.7581257660924134,0.08172810603146123,6062.192876937871,0.442486832153395,0.9223773269867582,7215354.859047394,27405.305277570737,3675391.5577941732,431.43426798064667,0.7351268673153961,0.8322344563431611,0.7597243144611737,0.6194749326524234,78.04638621770152,35915.45518864613,127.2003504203634,70.46693651088763,43505.03883787699,40901.53341851961,359.59305555161876,12525.868437951822,18844.34572721424,0.586206169079732,0.6869884401424657,0.7743275900845972,0.7567252650562084,16870.423443531283,102633.76211940755,0.05424229499073407,0.05835626847497147,0.1297169044490255,944.5975978086644,9260.3471297519991,9583.52612667403,110497.93335583589,197529.57844875945,70073.17214432635,94999.58697163727,21029.520498291764,13.801125676108054,18177.291958600246,5186.879524817747,15001.830081329745,36206.392253255864,18222.672666532235,33475.09111290891,7746.875848698425,12945.84767664425,13166.755837300087,71663.20247555168,77809.29953372237,354251.7200194509,489713.4090861281,479556.2391540892,75.07775753647377,0.7233858024083363,0.6485478985817323,85.54621509891753,57334.582567042205,0.6940783861300298,39794.694537571595,8358.514480989958,11256.89666857709,11938.175152509562,681.2784839324722,0.057067253020920916,8547817.647766734,170026.31154124963,228110.5919885009,119160.20309895062,11453.986815159626,831327.162506435,0.05931732342591779,16.85848150665317,625489.7754950848,1876942.0690560667,2508192.34371003,2502431.8445511516,6440510.330623931,0.0321138885438309,0.0362278620280683,0.05959969958455806,0.9706467719211586,0.05959969958455784,0.018423439754689776,0.0016276197295977748,0.03460024229847052,0.7274177221016278,4.338634098882957,0.07364279499073406,0.050697144195657254,0.007485833041104616,0.11617048987014324,116544,76.09999593644805,4.358469692893134,3.91744821147011,0.04629277347899701,0.6537624206451763,0.7672816411124477,0.04966466867624429,0.02793084797599164,22640.9,18259.77587614934,92235,16523,7786,212,74,127114,1.60077193079789,118.49,1.31422977615377,1.13015477212277,64345185.6515468,3.98775,0.0203666666666667,0.00962333333333333,0.018344227994228,0.022175,495025.5272654317,263396.0169372389,431.0802026188122,0.9331301364011058,2.212840644690317
2012-06-01,263324.9244007857,29563.870868110535,20380.27614688009,185175.9146363455,17717.951401837305,5270.65688506489,24260.082179984805,25845.60880026914,57894.877459628035,430.4089860936519,2946.0897013830267,0.6529643380198177,16970.01671545866,100.06819769403296,0.5669067870584363,0.8157396012636308,0.756674650172749,0.08132403683179647,5983.075218532788,0.44647141063187207,0.9275918907146827,7368750.028461991,27770.797665059883,3686548.169017824,442.0928798792387,0.7382046718506702,0.8333090889433277,0.7640989543621999,0.6240799576050449,78.55563936352794,36316.54192662179,142.30087257849428,71.00714936595959,44014.33404106658,42183.113380231225,358.96709393713894,12709.039430033654,18976.066934139886,0.5761483531219694,0.6840967806304172,0.7779419399300667,0.7607106253435276,17040.9482873831,103930.56645066045,0.057341318196461405,0.05815652165941729,0.09216659004419817,700.7943731538835,9330.031666974357,9697.792327844465,111704.68500899548,200314.06812228894,71210.20205178522,96274.27182354244,22827.5642855966,14.157400885626148,18450.219278011442,5289.2582754779,15044.815065233657,36677.54425857672,19621.298650900113,33356.03830256292,7910.873246653341,12981.466298672407,13386.62588076196,71963.63572865062,78641.62501130915,359929.41641961545,495552.35108807683,485485.22037776985,75.44072860373021,0.7263196741212505,0.6442311324977592,85.13978000329217,57838.19289885745,0.6993993222339728,40451.99291269868,8376.469393464185,11322.559094847213,11977.827887862135,655.2687930149223,0.05470680913821066,8582777.738318928,171079.1882306067,230444.4880900565,122396.66512488227,11571.177406539608,844651.087193837,0.059997088591703746,16.66747543043743,636166.4422309152,1894993.8389202491,2519869.2138011465,2531160.2811511643,6480915.637315061,0.033639549274027486,0.03445475273698337,0.05762226790936255,0.9767775747179734,0.05762226790936255,0.016132169115971724,-0.0025754593103029903,0.03703021204728636,0.7363120374370951,4.417915882036522,0.0767418181964614,0.052771252762743276,0.007471771981940113,0.11728926047043269,119651,75.6690245677078,4.352966514648057,3.909004890015546,0.04629277347899701,0.6537624206451763,0.772425927936775,0.04966466867624429,0.02793084797599164,22733.5,18343.770387501016,93195,18212,8244,346,51.9,128552,1.60718914271132,108.306666666667,1.23249088829807,1.1272477163102,65575917.5006936,3.9965,0.0182333333333333,0.00849666666666667,0.0142050163287005,0.0197436666666667,497014.2249158949,264620.5869979932,436.5312099315945,2.6897133900965153,2.370176892243392
