equation,term,estimate,std_error
Cpr,c1,-0.01427541862326659,0.01063109527900996
Cpr,c2,-0.039484440208754024,0.012896076060034643
Cpr,c3,0.9220427103434243,0.05495182924228301
Cpr,c6,0.08474383909749184,0.025363292051865733
Cpr,c8,0.016824444750556576,0.03056954186535191
Cpr,c9,0.03268121596815397,0.030880902052288692
Cpr,c10,0.07477891684188649,0.029506919736992477
Cpr,c11,-0.2765962964380156,0.0390357743859359
Cpr,c12,1.1500680674148047,0.04039037333552219
Idwell,c1,-0.18617840278646983,0.07880394744473931
Idwell,c2,-0.08208071963714839,0.03425447537991589
Idwell,c4,-0.5356216128258278,0.5110136405615647
Idwell,c5,-0.39422733273263244,3.3104082508537
Idwell,c7,0.11356497831957209,0.13517399885793532
Idwell,c8,0.20457966959789997,0.1337648198698858
Idwell,c9,0.1291439156196492,0.1350404511908686
Idwell,c10,0.075090715262567,0.13515010125201998
Idwell,c11,-0.06908707092569998,0.026788578489826097
Idwell,c13,0.04214071451024166,0.02653390120408636
Idwell,c14,0.057461301147167756,0.026465209693157462
Imin,c1,-0.04067350670134086,0.05693107650017721
Imin,c2,-0.016940703704929682,0.01767694698857993
Imin,c3,2.2466326606501763,2.4203782744434426
Imin,c4,0.22298800837457686,0.08854939085298429
Imin,c5,-0.044948924919682685,0.09677685062852945
Imin,c6,0.2126539703870021,0.08947775865036525
Imin,c7,-0.2163446178223695,0.05641309719439406
IvtNonfarm,c1,-0.0761590874203008,0.027670214509525715
IvtNonfarm,c2,-0.05935390350340393,0.02107319910942103
IvtNonfarm,c3,-0.018359003180116625,0.009620945866211253
IvtNonfarm,c4,1.754159086268096e-4,8.22983431950642e-5
IvtNonfarm,c5,-4.3596384138425295e-7,2.1761986875490163e-7
IvtNonfarm,c6,0.23070478256912091,0.08103683884035896
IvtNonfarm,c7,0.21206827215927168,0.07722933073683384
IvtNonfarm,c8,0.17194251249914014,0.1038405199099178
Tcit,c1,-0.4505449572889248,0.1514856768592032
Tcit,c2,-0.11672136308389856,0.031515939029179846
Tcit,c5,0.43289637496064387,0.17511322394840662
Tcit,c6,1.2232963415863531,0.1888294097876456
Tcit,c7,0.2241029900781295,0.06030453752477699
Tprl,c1,-0.7254577099542081,0.13186213960164636
