"code","description","class","row"
"TIME SERIES DATA","0","...3",1
"Quarterly Periods","Change this 0% to a 1 and then change back so that formulas update",NA,2
"Variable Name",NA,NA,3
"Epoch Listing (History / Forecast)",NA,NA,4
"Variable Name","Description","Old sheet",5
"EXF","OECD industrial production index","exos",6
"NA14","GDP (A)","endos",7
"NA14ch","GDP (A) quarterly change",NA,8
"NA14ch4","GDP (A) 4 quarter to change",NA,9
"NA16","GDP (A) - nominal","endos",10
"NA16ch","GDP (A) - nominal quarterly change",NA,11
"PGDPT","GDP deflator","endos",12
"PGDPTch","GDP deflator change",NA,13
"NFGDPlev","GDP (A) - non farm","basegdpa",14
"NFGDPlch","GDP (A) - non farm change",NA,15
"GDPAPClev","GDP (A) per capita","basegdpa",16
"GDPFC","GDP at factor cost (nom)","endos",17
"GDPZ","GDP (nom)","endos",18
"NA11","GNE","endos",19
"NA11ch","GNE change (%)","fybo",20
"NA11chq","GNE quarterly change",NA,21
"GNEZ","GNE (nom)","endos",22
"YD","Domestic production","endos",23
"TSR","Equilibrium gross output","endos",24
"NA10","Statistical discrepancy","endos",25
"GDPAch","GDP (A) % change","basegdpa",26
"NFGDPch","GDP (A) - non farm % change","basegdpa",27
"GDPAPCch","GDP (A) per capita % change","basegdpa",28
"GDPAyrto","GDP year to % change","basegdpa",29
"NFGDPyrto","GDP (A) non farm % change","basegdpa",30
"GDPAPCyrto","GDP (A) per capita year to % change","basegdpa",31
"NA1","Private consumption (ABS)","endos",32
"NA1ch4q","Private consumption (ABS) 4 quarter to change",NA,33
"NA1ch","Private consumption (ABS) quarterly change",NA,34
"CON","Derived private consumption","endos",35
"CONH","Private consumption - rental services","endos",36
"CONO","Derived private consumption - other","endos",37
"CONOCh","Derived private consumption - other, change",NA,38
"NAPC","Private consumption deflator","endos",39
"NAPCch","Private consumption deflator change",NA,40
"LPCON","Private consumption constant utility price index","endos",41
"WTCON","Rental services (ratio to consumption)","endos",42
"NA2","General government consumption","endos",43
"NA2ch","General government consumption quarterly change",NA,44
"NA3","Private dwelling investment","endos",45
"NA3ch4q","Private dwelling investment 4 quarter to change",NA,46
"NA3ch","Private dwelling investment quarterly change",NA,47
"NA31","Private dwelling investment (one quarter lead)","endos",48
"NA4A","Private non-dwelling construction investment (headline)","endos",49
"OutNacIcoUnd","Private non-dwelling construction investment (underlying)","endos",50
"OutNacIcoUndch4q","Private non-dwelling construction investment (underlying) 4 quarter to change",NA,51
