forecast_column,model_variable,units,forecast_start,forecast_end,endpoint_value,source,release,published_horizon,terminal_rule,url
Lpop,Lpop,thousand persons,2025-03-01,2036-12-01,31693.5,Centre for Population,Population Statement: National Population Projections 2024-25 to 2035-36,2035-36,two-quarter terminal extension,https://population.gov.au/data-and-forecasts/projections
Lpop15Plus,Lpop15Plus,thousand persons aged 15 and over,2025-03-01,2036-12-01,26599.139104275,Centre for Population,Population Statement: National Population Projections by Age and Sex 2024-25 to 2035-36,2035-36,two-quarter terminal share hold,https://population.gov.au/data-and-forecasts/projections
Cgov,Cgov,quarterly chain-volume $m,2025-03-01,2036-12-01,188565.470317908,Australian Budget 2026-27,Budget Paper No. 1 Statement 2 Table 2.2,2027-28,constant real per capita after the source horizon,https://budget.gov.au/content/bp1/index.htm
Igov,Igov,quarterly chain-volume $m,2025-03-01,2036-12-01,33292.55362577323,Australian Budget 2026-27,Budget Paper No. 1 Statement 2 Table 2.2,2027-28,constant real per capita after the source horizon,https://budget.gov.au/content/bp1/index.htm
Ipubent,Ipubent,quarterly chain-volume $m,2025-03-01,2036-12-01,14219.775222707754,Australian Budget 2026-27,Budget Paper No. 1 Statement 2 Table 2.2,2027-28,constant real per capita after the source horizon,https://budget.gov.au/content/bp1/index.htm
IvtFar,IvtFar,quarterly chain-volume $m,2025-03-01,2036-12-01,0,model closure,n/a,n/a,zero neutral closure,n/a
Lnom,Lnom,thousand persons per quarter,2025-03-01,2036-12-01,58.75,Australian Budget 2026-27 then Centre for Population,Budget Paper No. 1 Statement 2 Table 2.2 and footnote; Population Statement projections,2029-30 then 2035-36,two-quarter terminal carry,https://budget.gov.au/content/bp1/index.htm
IntStu,IntStu,new international student enrolments,2025-03-01,2036-12-01,208288.96,Department of Education,International students year-to-date data and managed system,2026,hold,https://www.education.gov.au/international-education-data-and-research/resources/international-student-data-yeardate-ytd
Fpcpi,Fpcpi,index,2025-03-01,2036-12-01,2.573171595228803,IMF World Economic Outlook,April 2026 database,IMF published horizon,two per cent terminal inflation,https://data.imf.org/Datasets/WEO
Fpoil,Fpoil,USD price,2025-03-01,2036-12-01,73.30599999999998,IMF World Economic Outlook,April 2026 database,IMF published horizon,hold terminal level,https://data.imf.org/Datasets/WEO
Fpcom,Fpcom,real commodity-price index,2025-03-01,2036-12-01,1.0206237639029867,IMF World Economic Outlook,April 2026 database,IMF published horizon,hold terminal real level,https://data.imf.org/Datasets/WEO
Fpagr,Fpagr,USD agricultural-price index,2025-03-01,2036-12-01,1.2044993639701544,IMF World Economic Outlook,April 2026 database,IMF published horizon,hold terminal level,https://data.imf.org/Datasets/WEO
FcGdp,FcGdp,China real GDP,2025-03-01,2036-12-01,199271562.4357843,IMF World Economic Outlook then OECD long-run scenarios,April 2026 database; OECD LTS 2025 update,IMF horizon then long run,OECD long-run potential growth,https://data.imf.org/Datasets/WEO
FcPpp,FcPpp,China PPP conversion rate,2025-03-01,2036-12-01,3.1657802322288306,IMF World Economic Outlook,April 2026 database,IMF published horizon,hold terminal level,https://data.imf.org/Datasets/WEO
Fr10yUs,Fr10yUs,decimal annual rate,2025-03-01,2036-12-01,0.0435,OECD Economic Outlook,June 2026 statistical annex,2027,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
Fr10yJp,Fr10yJp,decimal annual rate,2025-03-01,2036-12-01,0.0304926484848485,OECD Economic Outlook,June 2026 statistical annex,2027,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
Fr10yDe,Fr10yDe,decimal annual rate,2025-03-01,2036-12-01,0.03050813492075,OECD Economic Outlook,June 2026 statistical annex,2027,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
Fr10yUk,Fr10yUk,decimal annual rate,2025-03-01,2036-12-01,0.0441803333333333,OECD Economic Outlook,June 2026 statistical annex,2027,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
