variable,in_estimation,in_forecast_equations,in_identities,exogenous_contract,in_data_preparation,usage
Lune,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Lhh,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Lpar,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Pcpi,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Ygdp,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
YgdpNom,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
SavHh,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Cpr,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Idwell,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Iotc,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Ygne,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Xtot,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Mtot,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
CprNom,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
XtotNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
MtotNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Ywss,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Yhdi,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Lwge,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Pulc,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Tprl,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Tgst,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Ttot,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Imin,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
IminNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Inonmin,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
InonminNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Xmet,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xccb,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xomf,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xagr,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
XagrNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Wfor,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
KMin,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
KBiz,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
KDwell,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
PcpiRent,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Xsvc,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Pxsvc,TRUE,TRUE,TRUE,FALSE,FALSE,behavioural equation variable
Xmex,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xmac,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xtrn,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xotm,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xonr,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
Xgpr,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
R10y,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
R90d,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Rusd,TRUE,TRUE,FALSE,FALSE,FALSE,behavioural equation variable
RtwiNom,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
R10yReal,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
Rmort,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
Whh,TRUE,TRUE,FALSE,FALSE,FALSE,behavioural equation variable
IdwellNom,FALSE,FALSE,TRUE,FALSE,TRUE,identity-defined
