"variable","documented","definition","source","source_category","clear_source"
"Lune",TRUE,"Unemployed total ;  Persons ; (Seasonally Adjusted, Thousands)","ABS 6202.0 (A84423046K)","official with identifier",TRUE
"Lhh",TRUE,"All households ;","6224.0.55.001 Labour Force Status of Families, June 2025","official with identifier",TRUE
"Lpar",TRUE,"Participation rate ;  Persons ; (Seasonally Adjusted, Percent)","ABS 6202.0 (A84423051C)","official with identifier",TRUE
"Pcpi",TRUE,"Index Numbers ;  All groups CPI, seasonally adjusted ;  Australia ;","ABS 6401.0 (A3604506F), backfilled 1974Q3-1986Q3 from validated AEM PceCpi splice","official with identifier",TRUE
"Ygdp",TRUE,"GROSS DOMESTIC PRODUCT ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304402X)","official with identifier",TRUE
"YgdpNom",TRUE,"GROSS DOMESTIC PRODUCT ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304418T)","official with identifier",TRUE
"SavHh",TRUE,"Households ;  Net saving ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2302837X)","official with identifier",TRUE
"Cpr",TRUE,"Households ;  Final consumption expenditure ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304081W)","official with identifier",TRUE
"Idwell",TRUE,"Private ;  Gross fixed capital formation - Dwellings - Total ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304098T)","official with identifier",TRUE
"Iotc",TRUE,"Private ;  Gross fixed capital formation - Ownership transfer costs ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304099V)","official with identifier",TRUE
"Ygne",TRUE,"Gross national expenditure ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304113C)","official with identifier",TRUE
"Xtot",TRUE,"Exports of goods and services ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304114F)","official with identifier",TRUE
"Mtot",TRUE,"Imports of goods and services ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304115J)","official with identifier",TRUE
"CprNom",TRUE,"Households ;  Final consumption expenditure ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2304037L)","official with identifier",TRUE
"XtotNom",TRUE,"Exports of goods and services ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2303824F)","official with identifier",TRUE
"MtotNom",TRUE,"Imports of goods and services ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2303825J)","official with identifier",TRUE
"Ywss",TRUE,"Compensation of employees ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2303359K)","official with identifier",TRUE
"Yhdi",TRUE,"GROSS DISPOSABLE INCOME ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2302939L)","official with identifier",TRUE
"Lwge",TRUE,"Average compensation per employee: Current prices ; (Seasonally Adjusted, Dollars)","ABS 5206.0 (A2302606R)","official with identifier",TRUE
"Pulc",TRUE,"Unit labour cost - Nominal - Non-farm ; (Seasonally Adjusted, Index Numbers)","ABS 5206.0 (A2433074L)","official with identifier",TRUE
"Tprl",TRUE,"Payroll taxes ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2302778K)","official with identifier",TRUE
"Tgst",TRUE,"Goods and services tax","ABS 5206.0 (A2302784F)","official with identifier",TRUE
"Ttot",TRUE,"TOTAL TAXES ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A2302794K)","official with identifier",TRUE
"Imin",TRUE,"Gross fixed capital formation - Mining private business investment: Chain volume measures ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A85222698X)","official with identifier",TRUE
"IminNom",TRUE,"Gross fixed capital formation - Mining private business investment: Current prices ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A85125298V)","official with identifier",TRUE
"Inonmin",TRUE,"Gross fixed capital formation - Non-mining private business investment: Chain volume measures ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A85222699A)","official with identifier",TRUE
"InonminNom",TRUE,"Gross fixed capital formation - Non-mining private business investment: Current prices ; (Seasonally Adjusted, $ Millions)","ABS 5206.0 (A85125299W)","official with identifier",TRUE
"Xmet",TRUE,"Chain Volume Measures ;  Metal ores and minerals ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535047K)","official with identifier",TRUE
"Xccb",TRUE,"Chain Volume Measures ;  Coal, coke and briquettes ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535048L)","official with identifier",TRUE
"Xomf",TRUE,"Chain Volume Measures ;  Other mineral fuels ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535049R)","official with identifier",TRUE
"Xagr",TRUE,"Chain Volume Measures ;  Rural goods ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535041W)","official with identifier",TRUE
"XagrNom",TRUE,"Current Prices ;  Rural goods ; (Seasonally Adjusted, $ Millions)","ABS 5302.0 (A3535191C)","official with identifier",TRUE
"Wfor",TRUE,"Position at end of period ;  NET INTERNATIONAL INVESTMENT POSITION ; (Original, $ Millions)","ABS 5302.0 (A3484240C)","official with identifier",TRUE
"KMin",TRUE,"Mining sector net capital stock (real), annual end-June benchmark","ABS 5204.0 (A3347284T)","official with identifier",TRUE
"KBiz",TRUE,"Total business net capital stock (real), annual end-June benchmark","ABS 5204.0 (A2422581A)","official with identifier",TRUE
"KDwell",TRUE,"Dwellings net capital stock (real), annual end-June benchmark","ABS 5204.0 (A2422532F)","official with identifier",TRUE
